Начальный массив:
94,937	34,878	-94,434	-90,494	-38,059	27,289	20,595	-57,446	-40,089	-90,382	
-71,338	33,359	-9,938	-14,065	97,193	-54,360	-37,343	76,161	50,420	-41,725	
77,451	38,117	76,505	71,490	-47,995	55,159	24,121	54,928	-29,036	5,730	
-32,809	88,394	-95,394	26,613	-55,263	19,691	76,394	-16,489	67,429	43,846	
-53,025	-29,495	23,196	94,175	-73,984	-25,747	11,352	27,985	-76,563	59,291	
-11,992	-11,609	8,079	57,525	15,112	-71,448	-45,473	-21,948	71,271	-4,179	
27,738	-7,314	-95,406	90,641	80,354	98,061	-13,901	38,675	-81,015	6,970	
-43,187	44,535	-66,525	79,577	-47,499	31,616	-22,904	-30,581	37,034	-85,104	
35,800	-70,383	78,740	2,243	-68,868	1,452	-36,374	-25,402	-35,932	-9,485	
55,202	56,592	26,018	24,846	82,702	56,482	78,415	-14,973	-32,190	-72,032	

Поворот на 90:
55,202	56,592	26,018	24,846	82,702	56,482	78,415	-14,973	-32,190	-72,032	
35,800	-70,383	78,740	2,243	-68,868	1,452	-36,374	-25,402	-35,932	-9,485	
-43,187	44,535	-66,525	79,577	-47,499	31,616	-22,904	-30,581	37,034	-85,104	
27,738	-7,314	-95,406	90,641	80,354	98,061	-13,901	38,675	-81,015	6,970	
-11,992	-11,609	8,079	57,525	15,112	-71,448	-45,473	-21,948	71,271	-4,179	
-53,025	-29,495	23,196	94,175	-73,984	-25,747	11,352	27,985	-76,563	59,291	
-32,809	88,394	-95,394	26,613	-55,263	19,691	76,394	-16,489	67,429	43,846	
77,451	38,117	76,505	71,490	-47,995	55,159	24,121	54,928	-29,036	5,730	
-71,338	33,359	-9,938	-14,065	97,193	-54,360	-37,343	76,161	50,420	-41,725	
94,937	34,878	-94,434	-90,494	-38,059	27,289	20,595	-57,446	-40,089	-90,382	

Поворот на 180:
-90,382	-40,089	-57,446	20,595	27,289	-38,059	-90,494	-94,434	34,878	94,937	
-41,725	50,420	76,161	-37,343	-54,360	97,193	-14,065	-9,938	33,359	-71,338	
5,730	-29,036	54,928	24,121	55,159	-47,995	71,490	76,505	38,117	77,451	
43,846	67,429	-16,489	76,394	19,691	-55,263	26,613	-95,394	88,394	-32,809	
59,291	-76,563	27,985	11,352	-25,747	-73,984	94,175	23,196	-29,495	-53,025	
-4,179	71,271	-21,948	-45,473	-71,448	15,112	57,525	8,079	-11,609	-11,992	
6,970	-81,015	38,675	-13,901	98,061	80,354	90,641	-95,406	-7,314	27,738	
-85,104	37,034	-30,581	-22,904	31,616	-47,499	79,577	-66,525	44,535	-43,187	
-9,485	-35,932	-25,402	-36,374	1,452	-68,868	2,243	78,740	-70,383	35,800	
-72,032	-32,190	-14,973	78,415	56,482	82,702	24,846	26,018	56,592	55,202	

Поворот на 270:
94,937	34,878	-94,434	-90,494	-38,059	27,289	20,595	-57,446	-40,089	-90,382	
-71,338	33,359	-9,938	-14,065	97,193	-54,360	-37,343	76,161	50,420	-41,725	
77,451	38,117	76,505	71,490	-47,995	55,159	24,121	54,928	-29,036	5,730	
-32,809	88,394	-95,394	26,613	-55,263	19,691	76,394	-16,489	67,429	43,846	
-53,025	-29,495	23,196	94,175	-73,984	-25,747	11,352	27,985	-76,563	59,291	
-11,992	-11,609	8,079	57,525	15,112	-71,448	-45,473	-21,948	71,271	-4,179	
27,738	-7,314	-95,406	90,641	80,354	98,061	-13,901	38,675	-81,015	6,970	
-43,187	44,535	-66,525	79,577	-47,499	31,616	-22,904	-30,581	37,034	-85,104	
35,800	-70,383	78,740	2,243	-68,868	1,452	-36,374	-25,402	-35,932	-9,485	
55,202	56,592	26,018	24,846	82,702	56,482	78,415	-14,973	-32,190	-72,032	

Деление:
-2,604	-0,548	0,935	1,768	-0,301	-0,801	-0,215	-1,602	0,965	2,217	
-0,659	1,237	-0,154	-0,083	-0,946	-3,383	-0,386	0,737	-0,730	-5,781	
16,661	0,209	-3,208	-2,898	12,158	1,049	0,183	-1,231	-0,408	0,152	
-0,631	-0,705	-2,078	0,784	1,336	0,371	-16,669	-0,213	-2,023	0,764	
1,259	-2,429	0,237	-6,100	4,804	0,469	-0,337	-0,283	-0,597	-14,777	
-0,690	4,931	-0,247	0,579	1,058	-1,320	1,212	-0,198	-0,829	0,484	
-0,542	0,157	-3,971	0,579	1,539	5,468	-0,619	-0,344	-1,891	-0,081	
-0,541	-0,324	-0,432	-1,764	1,267	-2,148	0,329	-2,633	-0,295	8,631	
-2,277	-0,530	2,884	-0,052	-0,807	0,085	-0,681	0,469	0,866	0,152	
1,016	2,135	0,871	0,297	1,478	0,706	-5,246	0,405	0,455	-118,750	
